X,Indirect(OCB),Indirect(UPB),Difference (OCB-UPB),Diff 95% CI,Ratio (OCB/UPB),Ratio 95% CI
Inclusion,0.055,0.038,0.017,"[-0.001, 0.036]",1.438,"[0.975, 2.386]"
Equity,0.049,0.034,0.015,"[-0.001, 0.033]",1.438,"[0.975, 2.386]"
