,equity,inclusion,oi,el,ocb,upb
equity,1.0,0.7287,0.5358,0.7353,0.2973,0.2958
inclusion,0.7287,1.0,0.5307,0.6351,0.4843,0.1833
oi,0.5358,0.5307,1.0,0.4748,0.4469,0.2519
el,0.7353,0.6351,0.4748,1.0,0.3394,0.2038
ocb,0.2973,0.4843,0.4469,0.3394,1.0,0.1345
upb,0.2958,0.1833,0.2519,0.2038,0.1345,1.0
