effect,est,bca_lo,bca_hi,zero_in_bca
OI_obs*EL_obs->UPB (interaction),-0.0818,-0.1365,-0.0244,no
IE equity at EL-1SD,0.0707,0.0415,0.1085,no
IE equity at EL+1SD,0.026,0.0,0.0588,no
IE incl at EL-1SD,0.0783,0.0472,0.1177,no
IE incl at EL+1SD,0.0288,0.0003,0.0627,no
OI slope at EL-1SD,0.2471,0.1587,0.3367,no
OI slope at EL+1SD,0.091,-0.0027,0.1869,yes
