모형,chi2,df,CFI,TLI,RMSEA,SRMR
12번: 형평-포용 2요인 단독 CFA,438.4,26,0.9618,0.9471,0.0886,(미산출)
본 스크립트: 6요인 통합 CFA,1944.55,362,0.9516,0.9457,0.0465,0.04
