DEI dimension,Path,B,SE,z,p,ci_low,ci_high
Equity,a path: X -> OI,0.3763458645294112,0.019134237193732143,19.668715335706818,3.997812821431922e-86,0.33884344875804945,0.413848280300773
Equity,c prime: X -> UPB,0.17735846146811218,0.030807687207741293,5.756954758471642,8.56448518298844e-09,0.1169765040939639,0.23774041884226046
Equity,OI -> UPB,0.12876549310481378,0.027955252347325068,4.606128805599384,4.102343395351855e-06,0.07397420532532784,0.18355678088429972
Equity,EL -> UPB,-0.0011961775169313862,0.028187791483607682,-0.042436014103020836,0.9661511190936901,-0.0564432336285273,0.05405087859466453
Equity,OI x EL -> UPB,-0.070403407446693,0.024331395037267306,-2.8935212033202067,0.003809485690968764,-0.11809206541335353,-0.02271474948003248
Inclusion,a path: X -> OI,0.41145261171179454,0.020866411158066377,19.718417728615414,1.498431801876555e-86,0.37055519735537973,0.45235002606820934
Inclusion,c prime: X -> UPB,0.03290222413348101,0.029708156432862086,1.1075148405064195,0.26807139957988046,-0.025324692522010604,0.09112914078897263
Inclusion,OI -> UPB,0.16166496484848666,0.029071212455079817,5.560998362152516,2.6823571505853904e-08,0.10468643544961798,0.21864349424735535
Inclusion,EL -> UPB,0.08445129557144723,0.025441101185426487,3.319482712478804,0.0009018438845167724,0.03458765352097204,0.13431493762192243
Inclusion,OI x EL -> UPB,-0.06208753990901131,0.02452382725117866,-2.531723098238154,0.011350358585613554,-0.1101533580844034,-0.014021721733619222
