DEI dimension,Term,B,SE,z,p,ci_low,ci_high
Equity,Intercept,3.2882086406205193,0.08555936932351761,38.43189432810245,0.0,3.1205153582064638,3.455901923034575
Equity,equity_c,0.17735846146811218,0.030807687207741293,5.756954758471642,8.56448518298844e-09,0.1169765040939639,0.23774041884226046
Equity,oi_c,0.12876549310481378,0.027955252347325068,4.606128805599384,4.102343395351855e-06,0.07397420532532784,0.18355678088429972
Equity,el_c,-0.0011961775169313862,0.028187791483607682,-0.042436014103020836,0.9661511190936901,-0.0564432336285273,0.05405087859466453
Equity,oi_x_el,-0.070403407446693,0.024331395037267306,-2.8935212033202067,0.003809485690968764,-0.11809206541335353,-0.02271474948003248
Equity,gender_male,-0.014438222542264852,0.036128348572448434,-0.39963693644373977,0.6894239471254551,-0.08524848456517287,0.056372039480643156
Equity,age,-0.006202236706554424,0.001995888376346228,-3.107506802513949,0.0018867264323107957,-0.010114106041355157,-0.0022903673717536927
Equity,public_org,-0.15359036005649293,0.03618801899186217,-4.244232327031545,2.193430138081789e-05,-0.22451757395239424,-0.0826631461605916
Inclusion,Intercept,3.322436069894853,0.08625190223612515,38.52014835335779,0.0,3.153385447913978,3.4914866918757284
Inclusion,inclusion_c,0.03290222413348101,0.029708156432862086,1.1075148405064195,0.26807139957988046,-0.025324692522010604,0.09112914078897263
Inclusion,oi_c,0.16166496484848666,0.029071212455079817,5.560998362152516,2.6823571505853904e-08,0.10468643544961798,0.21864349424735535
Inclusion,el_c,0.08445129557144723,0.025441101185426487,3.319482712478804,0.0009018438845167724,0.03458765352097204,0.13431493762192243
Inclusion,oi_x_el,-0.06208753990901131,0.02452382725117866,-2.531723098238154,0.011350358585613554,-0.1101533580844034,-0.014021721733619222
Inclusion,gender_male,0.0009229537703060522,0.03635074990300143,0.025390226412628843,0.9797437067892628,-0.07032320685059962,0.07216911439121174
Inclusion,age,-0.006589887388122504,0.002021121697150781,-3.260509942282254,0.0011121206817593726,-0.010551213122910505,-0.0026285616533345026
Inclusion,public_org,-0.2122112118127238,0.035333039615080074,-6.006027619603733,1.9012381778227606e-09,-0.2814626969226077,-0.14295972670283985
