DEI dimension,EL level,B,SE,ci_low,ci_high,n_valid,Decision
Equity,-1 SD,0.07374134897973122,0.01414391705993205,0.046145230908297204,0.1019669483553451,5000,significant
Equity,Mean,0.048370991290630765,0.010912322417757919,0.027445801485902657,0.0699997790815558,5000,significant
Equity,+1 SD,0.02300063360153031,0.014096167175747451,-0.004976736426326467,0.04960990589730569,5000,non-significant
Inclusion,-1 SD,0.09078239948229079,0.016145154742282005,0.05931347439442731,0.12284185956685864,5000,significant
Inclusion,Mean,0.06636465027856583,0.01256998658161375,0.042263782049970944,0.09115230513021765,5000,significant
Inclusion,+1 SD,0.04194690107484086,0.01569861313482976,0.011846255711567524,0.07280811093237075,5000,significant
