DEI dimension,B,SE,ci_low,ci_high,n_valid,Decision
Equity,-0.02657361894047732,0.009385875674724532,-0.04463746386705424,-0.008588708373230367,5000,significant
Inclusion,-0.025575830292794637,0.010238663404586597,-0.04532777282883612,-0.005692631681311559,5000,significant
