DEI dimension,EL level,B,SE,z,p,ci_low,ci_high
Equity,-1 SD,0.19598101363496542,0.03524867014970221,5.559954823901949,2.6984448897593438e-08,0.1268936201415491,0.26506840712838176
Equity,Mean,0.12876549310481378,0.027955252347325068,4.606128805599384,4.102343395429031e-06,0.07397319850405665,0.1835577877055709
Equity,+1 SD,0.06154997257466213,0.03741333913529396,1.6451344359316709,0.09994209054768777,-0.011780172130514036,0.13488011727983829
Inclusion,-1 SD,0.22094116275951242,0.03671879447208537,6.017113740688789,1.7755432679678051e-09,0.1489723255942251,0.2929099999247997
Inclusion,Mean,0.16166496484848666,0.029071212455079817,5.560998362152516,2.682357158612092e-08,0.10468538843653022,0.2186445412604431
Inclusion,+1 SD,0.1023887669374609,0.03792589821184255,2.699705788523408,0.006940081959384781,0.028054006442249507,0.1767235274326723
