Comparison,Δχ²,Δdf,ΔCFI,ΔTLI,ΔRMSEA,ΔSRMR,"Invariance 판정 (Cheung & Rensvold, 2002)"
Metric vs Configural,70.87,23,-0.001,0.0,-0.0,0.001,지지됨 (ΔCFI ≤ .01)
Scalar vs Metric,429.47,23,-0.012,-0.011,0.003,-0.001,지지되지 않음 (ΔCFI > .01)
