EL level,B,SE,z,p,ci_low,ci_high
-1 SD,0.23017705279943207,0.03547424186096067,6.488568626825017,8.665579365185749e-11,0.16064753875194915,0.299706566846915
Mean,0.17073281698793624,0.027636127216744234,6.177885043331697,6.49659881446496e-10,0.11656600764311754,0.22489962633275495
+1 SD,0.11128858117644042,0.03695340759269635,3.011591851097273,0.002598817656709995,0.03885990229475557,0.18371726005812528
