predictor,effect,estimate,ci_low,ci_high,n_valid
Equity,Index of moderated mediation,-0.023910055932119437,-0.04371082074468962,-0.004373394579711747,5000
Equity,Conditional indirect at -1 SD EL,0.09437169158430124,0.06380735086484562,0.12574539985662253,5000
Equity,Conditional indirect at Mean EL,0.07154428999014817,0.04814757818783178,0.09667774138860608,5000
Equity,Conditional indirect at +1 SD EL,0.0487168883959951,0.01799099686340647,0.0792197739613691,5000
Inclusion,Index of moderated mediation,-0.02614046250181874,-0.047755250548031314,-0.0046135771776577485,5000
Inclusion,Conditional indirect at -1 SD EL,0.10317498512325549,0.07030022298010734,0.13667950484481142,5000
Inclusion,Conditional indirect at Mean EL,0.07821817042236151,0.052548286171555415,0.10523423166742267,5000
Inclusion,Conditional indirect at +1 SD EL,0.05326135572146753,0.020711696307680275,0.08663802366064517,5000
