effect,B,SE,p,ci_low,ci_high
OI main,0.1901025007398667,0.03072262678532981,6.104707007420632e-10,0.1298872587301547,0.25031774274957874
EL main,0.10022195447667444,0.025201479092827946,6.98405639717557e-05,0.050827963097592514,0.14961594585575635
OI x EL,-0.06353213409696144,0.026260161588542927,0.015548903234995186,-0.11500110503870771,-0.012063163155215176
Simple slope OI -> UPB4 at low EL,0.2507578811907634,,,0.17680422000303705,0.32471154237848976
Simple slope OI -> UPB4 at high EL,0.12944712028896999,,,0.04813154079028727,0.21076269978765272
