predictor,effect,estimate,ci_low,ci_high,n_valid
Equity,a path,0.39291167751256095,0.35485734698564075,0.42991216167400637,5000
Equity,b path,0.1352289546532111,0.07677166914278305,0.19451904060238523,5000
Equity,direct effect,0.21045681745901326,0.1574871396914591,0.26237954343900083,5000
Equity,indirect effect,0.053133035421063214,0.029706826123857506,0.07780316643481362,5000
Inclusion,a path,0.42897617839400415,0.38614643544490906,0.4712576504311188,5000
Inclusion,b path,0.2096108767725465,0.15051460090297072,0.2691426642557788,5000
Inclusion,direct effect,0.07800839919305166,0.021030126476304232,0.13459377724497643,5000
Inclusion,indirect effect,0.08991807286770352,0.06366278173701101,0.11743707413730947,5000
