effect,estimate,ci_low,ci_high,n_valid
Equity indirect,0.0385127864932898,0.02351029758150014,0.05709974830687209,10000
Inclusion indirect,0.04301595988989527,0.02716959148503251,0.06286533903336669,10000
Indirect difference (Inclusion - Equity),0.00450317339660547,-0.010482747038638962,0.020299979591207853,10000
