effect,estimate,ci_low,ci_high
OI -> OCB,0.24506672446528954,0.1925111837708051,0.29771520446105204
OI -> UPB4,0.15127103712427648,0.09658036110624557,0.20596248250927832
OI->OCB minus OI->UPB4,0.09379568734101307,0.018008386689131014,0.1702208596769534
