lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
Y8_1,~,equity,1.0,0.7677351702669493,-,-,-
Y8_2,~,equity,1.0663862103187434,0.8095873731516203,0.028031738687869453,38.04210014065852,0.0
Y8_3,~,equity,1.001960152968506,0.7665519632743337,0.02806938433913445,35.69583646107526,0.0
Y8_4,~,equity,1.096619309291176,0.8350261463430214,0.027809508678873447,39.43325004101318,0.0
Y8_5,~,equity,1.1137671330615233,0.8426904801883327,0.02794942733977334,39.84937220651857,0.0
Y8_6,~,inclusion,1.0,0.7666472671514772,-,-,-
Y8_7,~,inclusion,0.864814400731105,0.7510285903960134,0.02600646944514502,33.25381795948846,0.0
Y8_8,~,inclusion,0.9239719245928855,0.7591083376372035,0.02747341774328364,33.631488196809265,0.0
Y8_9,~,inclusion,0.9625899001785728,0.8097677561377884,0.02681394602781225,35.89885275163328,0.0
equity,~~,equity,0.6529319050243878,1.0,0.032910382968391216,19.83969331598653,0.0
equity,~~,inclusion,0.4665991145013123,0.7268842431338995,0.022706265244487423,20.549355407272134,0.0
inclusion,~~,inclusion,0.6310872711358101,1.0,0.032661676823442246,19.32194952904372,0.0
Y8_1,~~,Y8_1,0.4548264085808474,0.4105827083351785,0.01666590408977954,27.29083319473088,0.0
Y8_2,~~,Y8_2,0.39034154893752504,0.3445682852334591,0.015129023225878285,25.800842730153434,0.0
Y8_3,~~,Y8_3,0.4600470322969669,0.41239808760026436,0.016836158363880964,27.324940899617133,0.0
Y8_4,~~,Y8_4,0.3409077664206219,0.30273133492352283,0.013903622964375546,24.519347746237866,0.0
Y8_5,~~,Y8_5,0.3306190763855941,0.2898727545999576,0.013744444804807717,24.054742192706904,0.0
Y8_6,~~,Y8_6,0.4426505153447083,0.4122519677691716,0.01769989393048606,25.00865355793372,0.0
Y8_7,~~,Y8_7,0.3648085608744532,0.4359560564077769,0.014222580292040172,25.649956151273933,0.0
Y8_8,~~,Y8_8,0.3961993909564917,0.4237545317296813,0.015642184414492975,25.32890422670581,0.0
Y8_9,~~,Y8_9,0.3070139005170478,0.3442761811195712,0.013520164114887984,22.7078530915365,0.0
